creme_brulee,Крем-брюле,144,"3,8","2,4","20,6","1,7",yellow
lobster_roll_sandwich,сэндвич с лобстером,244,"12,7",11,"23,7","2,0",yellow
sushi,суши,143,"4,3","0,4","29,9","2,5",yellow
croque_madame,Крок-месье,1179,"39,9","51,7","142,2","11,9",yellow
macaroni_and_cheese,Макароны с сыром,164,7,5,23,"1,9",yellow
tacos,Тако,226,9,13,20,"1,7",yellow
cup_cakes,Капкейк (кекс),305,"4,3","3,7",67,"5,6",yellow
macarons,Печенье макарон,"386,6","6,1","17,2","52,3","4,4",yellow
takoyaki,Такояки,93,10,1,12,"1,0",red
miso_soup,Мисо суп,19,"1,2","0,4","2,8","0,2",yellow
tiramisu,Тирамису,283,"4,8","18,2","24,4","2,0",yellow
donuts,Пончик,452,"4,9",25,51,"4,3",red
mussels,Мидия,172,24,"4,5",7,"0,6",green
dumplings,Манты,59,"3,2","2,7","5,2","0,4",yellow
nachos,Начос,306,8,17,32,"2,7",yellow
waffles,Вафли,291,8,14,33,"2,8",yellow
edamame,Эдамамэ,122,11,5,10,"0,8",green
omelette,Омлет,154,11,12,"0,6","0,1",green
